timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-04-24T14:42:33	baseline	write	-	57.8	baseline	D3	script_underestimated_corrected	dry_run
2026-04-24T14:42:33	baseline	omc-reference	-	37.0	baseline	D3	boundary	dry_run
2026-04-24T14:42:33	baseline	lark-shared	-	41.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	academic-typesetting	-	57.7	baseline	D3	script_underestimated_corrected	dry_run
2026-04-24T14:42:33	baseline	chatroom-debate	-	55.0	baseline	D3	script_underestimated_corrected	dry_run
2026-04-24T14:42:33	baseline	lark-skill-maker	-	42.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	ducksearch	-	43.3	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-im	-	43.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-minutes	-	43.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-task	-	43.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	chrome-cdp	-	44.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	hmdb-database	-	44.4	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	crewai-developer	-	45.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	react-best-practices	-	45.2	baseline	D3	boundary	dry_run
2026-04-24T14:42:33	baseline	web-access	-	45.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	cangjie-skill	-	45.3	baseline	D3	boundary	dry_run
2026-04-24T14:42:33	baseline	deep-research	-	45.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	aria2-downloader	-	46.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	shader-dev	-	46.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	claude-to-im-new	-	46.5	baseline	D2	workflow	dry_run
2026-04-24T14:42:33	baseline	lark-doc	-	46.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-drive	-	46.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	_root_	-	46.5	baseline	D2	workflow	dry_run
2026-04-24T14:42:33	baseline	lark-workflow-meeting-summary	-	47.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	glmv-grounding	-	47.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	webnovel-continue	-	47.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	webnovel-snapshot	-	47.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	pdf	-	47.8	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-base	-	48.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-contact	-	48.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	lark-sheets	-	48.0	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	alphafold-database	-	48.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	geo-database	-	48.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	manga-learning-creator	-	48.2	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	baoyu-compress-image	-	48.3	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	skill-manager	-	48.4	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	getnote	-	48.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	glmocr-sdk	-	48.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	glmv-pdf-to-ppt	-	48.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	frontend-design	-	49.1	baseline	D6	resources	dry_run
2026-04-24T14:42:33	baseline	lark-calendar	-	49.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	role-orchestrator	-	49.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	sync-all	-	49.5	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	webnovel-audit-gate	-	49.6	baseline	D6	resources	dry_run
2026-04-24T14:42:33	baseline	biomed-search	-	49.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	pydeseq2	-	49.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	scientific-schematics	-	49.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	treatment-plans	-	49.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	anndata	-	49.9	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	skill-evolution-manager	-	50.0	baseline	D3	boundary	dry_run
2026-04-24T14:42:33	baseline	mmx-cli	-	50.1	baseline	D6	resources	dry_run
2026-04-24T14:42:33	baseline	clinicaltrials-database	-	50.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	webnovel-analyze	-	50.7	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	pydicom	-	50.9	baseline	D4	checkpoint	dry_run
2026-04-24T14:42:33	baseline	minimax-multimodal-toolkit	-	51.1	baseline	D3	boundary	dry_run
